Track Name,Artist Name,Artist Popularity,Album Release Date,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Track Duration (s)
Paradise,Coldplay,88,2011-10-24,87,0.449,0.585,5,-6.761,1,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,4,279.0
Silence,Marshmello,83,2017-11-08,83,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,4,181.0
Bad Liar,Imagine Dragons,87,2018-09-11,83,0.383,0.637,3,-6.993,1,0.0703,0.0722,0.0,0.368,0.0827,177.913,4,261.0
Stressed Out,Twenty One Pilots,79,2015-05-15,88,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,4,202.0
Waiting For Love,Avicii,81,2015-02-10,85,0.579,0.736,6,-3.863,0,0.0527,0.31,0.0,0.198,0.613,127.999,4,231.0
Blank Space,Taylor Swift,100,2014-01-01,70,0.752,0.678,5,-5.421,1,0.0646,0.085,1.64e-06,0.13,0.583,96.009,4,232.0
Riptide,Vance Joy,75,2014-08-09,86,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,4,204.0
Ride,Twenty One Pilots,79,2015-05-15,85,0.645,0.713,6,-5.355,1,0.0393,0.00835,0.0,0.113,0.566,74.989,4,215.0
Alone,Alan Walker,81,2016-02-12,65,0.676,0.929,10,-3.194,1,0.0458,0.186,0.000405,0.121,0.157,97.019,4,161.0
Memories,Maroon 5,85,2019-09-20,31,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,4,189.0
All I Want,Kodaline,68,2013-08-10,0,0.209,0.412,0,-9.733,1,0.0443,0.172,0.15,0.0843,0.162,86.26,3,306.0
Baby,Justin Bieber,89,2010-01-01,84,0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,4,214.0
Something Just Like This,The Chainsmokers,80,2017-02-22,77,0.607,0.649,11,-6.695,0,0.0362,0.0306,2.46e-05,0.174,0.505,102.996,4,248.0
The Hills,The Weeknd,95,2015-08-28,89,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,4,242.0
Believer,Imagine Dragons,87,2017-06-23,91,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,4,204.0
Pompeii,Bastille,74,2013-01-01,79,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435,4,214.0
The One That Got Away,Katy Perry,83,2010-08-24,79,0.691,0.795,1,-4.021,0,0.0355,0.000812,1.02e-06,0.156,0.876,133.971,4,227.0
Grenade,Bruno Mars,87,2010-05-10,81,0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444,4,222.0
Summer,Calvin Harris,86,2014-10-31,86,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,4,223.0
Without Me,Halsey,83,2018-04-10,78,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,4,202.0
FRIENDS,Marshmello,83,2018-09-02,80,0.626,0.88,9,-2.384,0,0.0504,0.205,0.0,0.128,0.534,95.079,4,203.0
Call Out My Name,The Weeknd,95,2018-03-30,89,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,3,228.0
See You Again (feat. Charlie Puth),Wiz Khalifa,81,2015-01-01,86,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,4,230.0
God's Plan,Drake,95,2018-06-29,88,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,4,199.0
Closer,The Chainsmokers,80,2016-07-29,87,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,4,245.0
Whatever It Takes,Imagine Dragons,87,2017-06-23,84,0.672,0.655,10,-5.021,0,0.0311,0.0362,0.0,0.117,0.556,134.945,4,201.0
Let Me Love You,DJ Snake,77,2016-05-08,87,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,4,206.0
Let Her Go,Passenger,70,2012-05-11,11,0.509,0.538,7,-7.335,1,0.0572,0.385,0.0,0.104,0.244,75.089,4,253.0
Hall of Fame (feat. will.i.am),The Script,72,2012-10-09,83,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,4,203.0
Beautiful People (feat. Khalid),Ed Sheeran,90,2019-06-28,76,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,4,198.0
